neighbourhood_group,neighbourhood
,Běchovice
,Benice
,Březiněves
,Čakovice
,Ďáblice
,Dolní Chabry
,Dolní Měcholupy
,Dolní Počernice
,Dubeč
,Klánovice
,Koloděje
,Kolovraty
,Královice
,Křeslice
,Kunratice
,Libuš
,Lipence
,Lochkov
,Lysolaje
,Nebušice
,Nedvězí
,Petrovice
,Praha 1
,Praha 10
,Praha 11
,Praha 12
,Praha 13
,Praha 14
,Praha 15
,Praha 16
,Praha 17
,Praha 18
,Praha 19
,Praha 2
,Praha 20
,Praha 21
,Praha 22
,Praha 3
,Praha 4
,Praha 5
,Praha 6
,Praha 7
,Praha 8
,Praha 9
,Přední Kopanina
,Řeporyje
,Satalice
,Šeberov
,Slivenec
,Štěrboholy
,Suchdol
,Troja
,Újezd
,Velká Chuchle
,Vinoř
,Zbraslav
,Zličín
